#mpirun  --map-by core --mca pml ob1 --mca btl self,vader -np 2 --report-bindings ./IMB-MPI1 PingPong -msglog 28
#bytes #repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.60
2,1000,0.28,7.19
4,1000,0.28,14.31
8,1000,0.28,28.78
16,1000,0.30,54.24
32,1000,0.31,104.18
64,1000,0.35,184.96
128,1000,0.39,324.57
256,1000,0.47,541.06
512,1000,0.63,808.21
1024,1000,0.75,1372.71
2048,1000,0.88,2319.29
4096,1000,1.74,2349.07
8192,1000,2.15,3816.30
16384,1000,2.65,6171.03
32768,1000,3.79,8653.14
65536,640,5.25,12489.97
131072,320,10.80,12135.02
262144,160,18.87,13894.90
524288,80,38.69,13550.92
1048576,40,90.65,11567.27
2097152,20,217.44,9644.83
4194304,10,429.32,9769.74
8388608,5,1505.48,5572.03
16777216,2,3713.53,4517.86
33554432,1,7454.94,4500.96
67108864,1,14855.65,4517.40
134217728,1,29617.21,4531.75
268435456,1,59225.73,4532.41
