Distribution, Topology, Time, Nprocessor
2400x100x100, 6x4, 0.69133133, 24
2400x100x100, 4x6, 0.75003351, 24
2400x100x100, 8x3, 0.70265859, 24
2400x100x100, 3x8, 0.75125729, 24
2400x100x100, 12x2, 0.75301087, 24
2400x100x100, 2x12, 0.75142680, 24
2400x100x100, 24x1, 0.68662135, 24
2400x100x100, 1x24, 0.69015598, 24
2400x100x100, 24x1x1, 0.75044058, 24
2400x100x100, 1x24x1, 0.69141504, 24
2400x100x100, 1x1x24, 0.75876324, 24
2400x100x100, 12x2x1, 0.69981940, 24
2400x100x100, 1x12x2, 0.74829275, 24
2400x100x100, 2x1x12, 0.75515880, 24
2400x100x100, 6x2x2, 0.75580620, 24
2400x100x100, 2x6x2, 0.75123945, 24
2400x100x100, 2x2x6, 0.76683211, 24
2400x100x100, 4x3x2, 0.70167095, 24
2400x100x100, 3x2x4, 0.75048360, 24
2400x100x100, 2x3x4, 0.69132072, 24
2400x100x100, 4x2x3, 0.75920638, 24
2400x100x100, 3x4x2, 0.70065109, 24
2400x100x100, 2x4x3, 0.70006318, 24
1200x200x100, 6x4, 0.75247458, 24
1200x200x100, 4x6, 0.75838712, 24
1200x200x100, 8x3, 0.74887020, 24
1200x200x100, 3x8, 0.69309214, 24
1200x200x100, 12x2, 0.69052685, 24
1200x200x100, 2x12, 0.76121831, 24
1200x200x100, 24x1, 0.70015707, 24
1200x200x100, 1x24, 0.76190410, 24
1200x200x100, 24x1x1, 0.74583788, 24
1200x200x100, 1x24x1, 0.75135160, 24
1200x200x100, 1x1x24, 0.75954306, 24
1200x200x100, 12x2x1, 0.69193223, 24
1200x200x100, 1x12x2, 0.69041427, 24
1200x200x100, 2x1x12, 0.75120604, 24
1200x200x100, 6x2x2, 0.75146050, 24
1200x200x100, 2x6x2, 0.75196762, 24
1200x200x100, 2x2x6, 0.69541008, 24
1200x200x100, 4x3x2, 0.69529179, 24
1200x200x100, 3x2x4, 0.74308137, 24
1200x200x100, 2x3x4, 0.68687405, 24
1200x200x100, 4x2x3, 0.76072008, 24
1200x200x100, 3x4x2, 0.69838283, 24
1200x200x100, 2x4x3, 0.74318570, 24
800x300x100, 6x4, 0.76876711, 24
800x300x100, 4x6, 0.70367874, 24
800x300x100, 8x3, 0.94813945, 24
800x300x100, 3x8, 0.75017399, 24
800x300x100, 12x2, 0.69336780, 24
800x300x100, 2x12, 0.69479826, 24
800x300x100, 24x1, 0.68724021, 24
800x300x100, 1x24, 0.68769750, 24
800x300x100, 24x1x1, 0.75275431, 24
800x300x100, 1x24x1, 0.74334268, 24
800x300x100, 1x1x24, 0.69973608, 24
800x300x100, 12x2x1, 0.76012270, 24
800x300x100, 1x12x2, 0.69741440, 24
800x300x100, 2x1x12, 0.76868621, 24
800x300x100, 6x2x2, 0.69036465, 24
800x300x100, 2x6x2, 0.75734017, 24
800x300x100, 2x2x6, 0.68834467, 24
800x300x100, 4x3x2, 0.68957827, 24
800x300x100, 3x2x4, 0.68639932, 24
800x300x100, 2x3x4, 0.74310884, 24
800x300x100, 4x2x3, 0.76063489, 24
800x300x100, 3x4x2, 0.68288366, 24
800x300x100, 2x4x3, 0.70168296, 24
