#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.30,0.00
1,1000,0.29,3.41
2,1000,0.30,6.65
4,1000,0.30,13.49
8,1000,0.30,26.82
16,1000,0.30,53.61
32,1000,0.36,88.43
64,1000,0.36,176.10
128,1000,0.47,274.30
256,1000,0.49,523.51
512,1000,0.57,896.24
1024,1000,0.66,1549.49
2048,1000,0.88,2322.01
4096,1000,1.27,3234.96
8192,1000,2.01,4078.27
16384,1000,4.00,4095.57
32768,1000,4.89,6694.36
65536,640,6.62,9897.03
131072,320,8.77,14940.48
262144,160,13.79,19013.38
524288,80,24.98,20986.18
1048576,40,59.29,17685.20
2097152,20,157.59,13307.55
4194304,10,352.75,11890.35
8388608,5,1004.34,8352.37
16777216,2,2546.16,6589.22
33554432,1,5459.65,6145.90
67108864,1,10929.92,6139.92
134217728,1,22138.60,6062.61
268435456,1,43105.28,6227.44
