#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.71,0.00
1,1000,1.70,0.59
2,1000,1.68,1.19
4,1000,1.67,2.40
8,1000,1.78,4.48
16,1000,1.68,9.50
32,1000,1.68,19.04
64,1000,1.77,36.09
128,1000,1.89,67.64
256,1000,1.92,133.38
512,1000,1.86,275.58
1024,1000,1.95,525.78
2048,1000,2.18,940.04
4096,1000,2.58,1587.03
8192,1000,3.07,2672.23
16384,1000,3.67,4463.97
32768,1000,4.57,7170.08
65536,640,6.31,10377.84
131072,320,10.16,12897.02
262144,160,17.00,15422.74
524288,80,37.45,13999.99
1048576,40,97.37,10769.49
2097152,20,223.74,9372.99
4194304,10,547.24,7664.46
8388608,5,2049.54,4092.93
16777216,2,4047.01,4145.58
33554432,1,8252.89,4065.78
67108864,1,16478.16,4072.59
134217728,1,32847.36,4086.10
268435456,1,64348.11,4171.61
