#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.54,0.00
1,1000,1.52,0.66
2,1000,1.54,1.30
4,1000,1.53,2.61
8,1000,1.53,5.23
16,1000,1.52,10.51
32,1000,1.53,20.96
64,1000,1.67,38.34
128,1000,1.87,68.40
256,1000,1.86,137.39
512,1000,1.97,260.13
1024,1000,2.03,503.79
2048,1000,2.44,839.39
4096,1000,3.81,1074.18
8192,1000,3.90,2102.11
16384,1000,4.33,3785.67
32768,1000,5.44,6026.84
65536,640,7.12,9205.42
131072,320,10.69,12255.56
262144,160,18.61,14083.52
524288,80,37.28,14061.99
1048576,40,99.74,10513.05
2097152,20,239.28,8764.56
4194304,10,489.50,8568.54
8388608,5,1219.24,6880.17
16777216,2,3883.18,4320.48
33554432,1,9794.33,3425.90
67108864,1,19814.91,3386.79
134217728,1,38419.03,3493.52
268435456,1,76093.50,3527.71
