#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.0
1,1000,1.37,0.75
2,1000,1.37,1.5
4,1000,1.36,3.03
8,1000,1.4,5.92
16,1000,1.35,12.23
32,1000,1.36,24.2
64,1000,1.4,47.28
128,1000,1.52,86.79
256,1000,1.56,167.58
512,1000,1.55,338.41
1024,1000,1.63,641.59
2048,1000,1.81,1150.07
4096,1000,2.27,1821.2
8192,1000,2.87,2880.54
16384,1000,3.45,4773.28
32768,1000,4.35,7543.87
65536,640,6.24,10505.99
131072,320,10.02,13090.79
262144,160,17.67,14856.25
524288,80,36.92,14210.08
1048576,40,99.62,10535.04
2097152,20,225.88,9287.14
4194304,10,545.4,7691.28
8388608,5,1837.5,4582.56
16777216,2,4120.93,4073.41
33554432,1,8212.51,4086.11
67108864,1,16395.14,4093.4
134217728,1,32766.74,4096.53
268435456,1,64296.19,4175.22
