#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.09,0.0
1,1000,5.12,0.19
2,1000,5.13,0.39
4,1000,5.11,0.78
8,1000,5.11,1.57
16,1000,5.12,3.13
32,1000,5.12,6.25
64,1000,5.13,12.46
128,1000,5.16,24.82
256,1000,5.2,49.24
512,1000,6.51,78.65
1024,1000,6.67,153.47
2048,1000,6.89,297.17
4096,1000,7.44,550.88
8192,1000,8.45,971.11
16384,1000,14.66,1117.51
32768,1000,22.36,1465.26
65536,640,39.22,1671.04
131072,320,73.56,1782.19
262144,160,53.75,4877.1
524288,80,89.28,5872.83
1048576,40,156.56,6711.64
2097152,20,305.91,6855.56
4194304,10,642.84,6524.73
8388608,5,1533.42,5476.19
16777216,2,3241.97,5175.31
33554432,1,6539.29,5131.25
67108864,1,13245.42,5069.96
134217728,1,25970.0,5168.26
268435456,1,52026.26,5159.93
