#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.46,0.0
1,1000,1.46,0.68
2,1000,1.46,1.37
4,1000,1.46,2.74
8,1000,1.46,5.49
16,1000,1.46,11.0
32,1000,1.46,21.97
64,1000,1.59,40.35
128,1000,1.79,71.81
256,1000,1.79,143.23
512,1000,1.88,273.27
1024,1000,1.94,526.78
2048,1000,2.34,877.38
4096,1000,3.76,1089.72
8192,1000,3.81,2150.39
16384,1000,4.19,3913.49
32768,1000,5.26,6246.18
65536,640,6.95,9435.3
131072,320,10.6,12370.68
262144,160,18.19,14420.16
524288,80,37.31,14053.22
1048576,40,99.77,10509.79
2097152,20,237.8,8822.84
4194304,10,488.55,8587.3
8388608,5,1212.45,6924.26
16777216,2,3952.03,4245.65
33554432,1,9838.82,3411.03
67108864,1,19851.43,3380.9
134217728,1,39072.06,3435.53
268435456,1,76990.8,3486.84
