#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.01,0.0
1,1000,8.91,0.11
2,1000,8.91,0.22
4,1000,8.93,0.45
8,1000,8.91,0.9
16,1000,8.91,1.8
32,1000,8.9,3.6
64,1000,9.12,7.03
128,1000,9.15,14.0
256,1000,9.18,27.91
512,1000,10.58,48.41
1024,1000,10.79,94.92
2048,1000,11.28,181.69
4096,1000,12.47,328.48
8192,1000,14.24,575.22
16384,1000,25.22,649.68
32768,1000,36.67,894.81
65536,640,57.06,1148.67
131072,320,101.83,1287.26
262144,160,122.04,2149.67
524288,80,183.92,2850.69
1048576,40,340.07,3083.74
2097152,20,673.75,3112.68
4194304,10,1327.49,3159.59
8388608,5,2634.56,3184.13
16777216,2,5459.19,3074.57
33554432,1,11026.45,3045.54
67108864,1,21687.47,3094.38
134217728,1,43319.04,3098.36
268435456,1,86846.56,3091.17
