#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.95,0.0
1,1000,5.04,0.2
2,1000,5.03,0.4
4,1000,5.14,0.78
8,1000,5.03,1.59
16,1000,5.04,3.17
32,1000,5.05,6.34
64,1000,5.04,12.69
128,1000,5.09,25.13
256,1000,5.13,49.85
512,1000,5.18,98.74
1024,1000,5.85,175.07
2048,1000,5.59,366.08
4096,1000,6.48,632.46
8192,1000,6.95,1178.83
16384,1000,9.03,1814.97
32768,1000,14.73,2226.15
65536,640,30.08,2179.05
131072,320,44.49,2946.3
262144,160,62.29,4208.78
524288,80,97.84,5358.8
1048576,40,163.7,6405.81
2097152,20,320.0,6553.57
4194304,10,661.57,6339.98
8388608,5,1564.52,5362.84
16777216,2,3297.32,5088.2
33554432,1,6643.35,5051.02
67108864,1,13245.08,5066.7
134217728,1,26249.57,5113.14
268435456,1,52069.15,5155.37
