#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.88,0.0
1,1000,9.0,0.11
2,1000,8.98,0.22
4,1000,8.98,0.45
8,1000,9.02,0.89
16,1000,8.97,1.79
32,1000,8.99,3.56
64,1000,9.12,7.02
128,1000,9.32,13.74
256,1000,9.35,27.38
512,1000,9.42,54.38
1024,1000,10.56,96.97
2048,1000,9.92,206.52
4096,1000,11.86,345.29
8192,1000,12.61,649.93
16384,1000,17.12,957.21
32768,1000,27.15,1207.02
65536,640,63.26,1036.08
131072,320,89.77,1460.19
262144,160,136.27,1923.75
524288,80,208.45,2515.22
1048576,40,359.42,2917.46
2097152,20,685.3,3061.19
4194304,10,1348.53,3110.34
8388608,5,2656.81,3157.53
16777216,2,5414.32,3098.69
33554432,1,10899.39,3078.69
67108864,1,21641.46,3100.97
134217728,1,43449.47,3089.34
268435456,1,86514.21,3102.9
