#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.93,0.00
1,1000,9.06,0.11
2,1000,9.01,0.22
4,1000,8.97,0.45
8,1000,9.14,0.88
16,1000,9.01,1.78
32,1000,9.03,3.54
64,1000,9.10,7.04
128,1000,9.36,13.68
256,1000,9.41,27.20
512,1000,9.44,54.24
1024,1000,10.60,96.58
2048,1000,9.90,206.77
4096,1000,11.90,344.09
8192,1000,12.68,646.20
16384,1000,17.20,952.77
32768,1000,27.00,1213.77
65536,640,62.80,1043.55
131072,320,89.32,1467.38
262144,160,135.31,1937.38
524288,80,207.76,2523.50
1048576,40,358.68,2923.43
2097152,20,680.05,3083.82
4194304,10,1346.16,3115.76
8388608,5,2639.23,3178.43
16777216,2,5422.99,3093.72
33554432,1,10873.18,3085.98
67108864,1,21592.86,3107.92
134217728,1,43355.25,3095.77
268435456,1,86267.53,3111.66
