#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -108.29, bandwidth[Mbytes/sec] (computed) -> 4240.36
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.49,0.0,-108.29,-0.0
1,1000,0.49,2.03,-108.29,-0.01
2,1000,0.49,4.07,-108.29,-0.02
4,1000,0.49,8.18,-108.29,-0.04
8,1000,0.49,16.39,-108.29,-0.07
16,1000,0.49,32.53,-108.29,-0.15
32,1000,0.53,60.74,-108.28,-0.3
64,1000,0.51,125.06,-108.28,-0.59
128,1000,0.6,212.13,-108.26,-1.18
256,1000,0.73,365.53,-108.23,-2.37
512,1000,0.96,534.12,-108.17,-4.73
1024,1000,1.01,1017.48,-108.05,-9.48
2048,1000,1.16,1777.59,-107.81,-19.0
4096,1000,1.6,2569.64,-107.32,-38.16
8192,1000,2.12,3877.75,-106.36,-77.02
16384,1000,3.6,4559.54,-104.42,-156.9
32768,1000,5.5,5965.76,-100.55,-325.89
65536,640,9.35,7017.49,-92.81,-706.13
131072,320,15.44,8498.65,-77.33,-1695.02
262144,160,28.5,9209.75,-46.36,-5653.99
524288,80,67.72,7747.78,15.56,33689.0
1048576,40,133.44,7863.88,139.42,7521.17
2097152,20,258.77,8111.31,387.12,5417.25
4194304,10,513.31,8177.21,882.54,4752.54
8388608,5,1066.76,7869.8,1873.37,4477.81
16777216,2,2333.77,7193.75,3855.04,4352.03
33554432,1,7988.37,4206.73,7818.36,4291.75
67108864,1,16015.68,4195.25,15745.02,4262.23
134217728,1,31966.71,4202.94,31598.32,4247.62
268435456,1,63158.64,4253.75,63304.94,4240.36
