#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -98.75, bandwidth[Mbytes/sec] (computed) -> 3472.19
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,1.46,0.0,-98.75,-0.0
1,1000,1.46,0.68,-98.75,-0.01
2,1000,1.46,1.37,-98.75,-0.02
4,1000,1.46,2.74,-98.75,-0.04
8,1000,1.46,5.49,-98.75,-0.08
16,1000,1.46,11.0,-98.75,-0.16
32,1000,1.46,21.97,-98.74,-0.32
64,1000,1.59,40.35,-98.73,-0.65
128,1000,1.79,71.81,-98.71,-1.3
256,1000,1.79,143.23,-98.68,-2.59
512,1000,1.88,273.27,-98.6,-5.19
1024,1000,1.94,526.78,-98.46,-10.4
2048,1000,2.34,877.38,-98.16,-20.86
4096,1000,3.76,1089.72,-97.57,-41.98
8192,1000,3.81,2150.39,-96.39,-84.99
16384,1000,4.19,3913.49,-94.03,-174.25
32768,1000,5.26,6246.18,-89.3,-366.94
65536,640,6.95,9435.3,-79.85,-820.71
131072,320,10.6,12370.68,-60.95,-2150.35
262144,160,18.19,14420.16,-23.16,-11320.51
524288,80,37.31,14053.22,52.44,9998.22
1048576,40,99.77,10509.79,203.63,5149.48
2097152,20,237.8,8822.84,506.01,4144.52
4194304,10,488.55,8587.3,1110.76,3776.06
8388608,5,1212.45,6924.26,2320.28,3615.35
16777216,2,3952.03,4245.65,4739.31,3540.01
33554432,1,9838.82,3411.03,9577.37,3503.51
67108864,1,19851.43,3380.9,19253.48,3485.54
134217728,1,39072.06,3435.53,38605.72,3476.63
268435456,1,76990.8,3486.84,77310.18,3472.19
