#mpirun -np 2 mpirun -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ~./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.31,3.25
2,1000,0.31,6.49
4,1000,0.31,13.07
8,1000,0.31,25.96
16,1000,0.31,51.86
32,1000,0.32,99.95
64,1000,0.32,198.64
128,1000,0.32,399.00
256,1000,0.33,780.89
512,1000,0.57,894.13
1024,1000,0.63,1629.82
2048,1000,0.75,2747.25
4096,1000,0.95,4319.11
8192,1000,1.49,5508.93
16384,1000,2.40,6839.58
32768,1000,3.58,9148.70
65536,640,5.88,11142.72
131072,320,8.78,14929.83
262144,160,15.87,16521.81
524288,80,41.59,12606.55
1048576,40,84.63,12390.17
2097152,20,164.08,12781.33
4194304,10,402.90,10410.23
8388608,5,1044.39,8032.05
16777216,2,2149.12,7806.56
33554432,1,6070.47,5527.48
67108864,1,12429.90,5398.98
134217728,1,25893.98,5183.36
268435456,1,52615.06,5101.87
