#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.34,0.00
1,1000,1.35,0.74
2,1000,1.35,1.48
4,1000,1.34,2.98
8,1000,1.34,5.97
16,1000,1.34,11.93
32,1000,1.36,23.48
64,1000,1.55,41.35
128,1000,1.62,79.14
256,1000,1.86,137.90
512,1000,1.93,264.98
1024,1000,2.14,479.04
2048,1000,2.72,752.68
4096,1000,3.57,1147.60
8192,1000,4.52,1811.23
16384,1000,6.33,2587.86
32768,1000,10.47,3128.33
65536,640,13.28,4933.99
131072,320,22.72,5769.47
262144,160,33.50,7826.21
524288,80,55.67,9417.97
1048576,40,98.46,10649.70
2097152,20,185.51,11304.90
4194304,10,355.74,11790.42
8388608,5,698.76,12004.99
16777216,2,1386.83,12097.51
33554432,1,2770.17,12112.77
67108864,1,5519.06,12159.48
134217728,1,11022.59,12176.61
268435456,1,21949.62,12229.62
