#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.08,0.00
1,1000,8.13,0.12
2,1000,8.10,0.25
4,1000,8.06,0.50
8,1000,8.06,0.99
16,1000,8.43,1.90
32,1000,8.15,3.93
64,1000,8.11,7.89
128,1000,8.20,15.62
256,1000,8.56,29.89
512,1000,11.08,46.22
1024,1000,10.71,95.59
2048,1000,14.69,139.40
4096,1000,15.70,260.82
8192,1000,15.97,512.86
16384,1000,26.46,619.18
32768,1000,36.38,900.74
65536,640,60.15,1089.49
131072,320,110.24,1189.02
262144,160,143.48,1827.01
524288,80,230.59,2273.65
1048576,40,439.52,2385.75
2097152,20,788.30,2660.35
4194304,10,1450.04,2892.54
8388608,5,3129.72,2680.30
16777216,2,6948.13,2414.64
33554432,1,13463.01,2492.34
67108864,1,25064.19,2677.48
134217728,1,48469.47,2769.12
268435456,1,93467.24,2871.97
