#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.48,2.08
2,1000,0.48,4.20
4,1000,0.48,8.42
8,1000,0.48,16.82
16,1000,0.47,33.72
32,1000,0.51,63.10
64,1000,0.50,128.63
128,1000,0.60,212.52
256,1000,0.64,401.59
512,1000,0.98,522.29
1024,1000,1.03,989.55
2048,1000,1.17,1744.69
4096,1000,1.63,2517.46
8192,1000,2.16,3798.43
16384,1000,3.69,4434.83
32768,1000,5.25,6241.00
65536,640,9.35,7009.66
131072,320,15.19,8631.10
262144,160,29.00,9039.85
524288,80,67.33,7787.31
1048576,40,132.40,7919.64
2097152,20,259.55,8080.05
4194304,10,511.13,8205.98
8388608,5,1069.60,7842.76
16777216,2,2302.17,7287.58
33554432,1,7862.29,4267.77
67108864,1,15752.95,4260.08
134217728,1,31631.44,4243.18
268435456,1,62503.54,4294.72
