#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.0
1,1000,0.48,2.09
2,1000,0.48,4.18
4,1000,0.48,8.38
8,1000,0.48,16.77
16,1000,0.47,33.65
32,1000,0.51,62.78
64,1000,0.5,128.34
128,1000,0.6,212.92
256,1000,0.63,403.81
512,1000,0.95,540.25
1024,1000,1.0,1021.83
2048,1000,1.13,1819.46
4096,1000,1.61,2556.53
8192,1000,2.08,3942.65
16384,1000,3.58,4573.78
32768,1000,5.3,6187.75
65536,640,9.54,6896.72
131072,320,15.17,8641.16
262144,160,28.54,9185.26
524288,80,67.44,7774.98
1048576,40,132.67,7904.1
2097152,20,259.65,8076.89
4194304,10,512.5,8184.03
8388608,5,1066.07,7868.98
16777216,2,2306.22,7275.0
33554432,1,7912.16,4240.96
67108864,1,15818.02,4242.6
134217728,1,31697.48,4234.34
268435456,1,62662.8,4283.84
