#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.01,0.0
1,1000,5.03,0.2
2,1000,5.01,0.4
4,1000,5.0,0.8
8,1000,5.0,1.6
16,1000,5.0,3.2
32,1000,5.0,6.39
64,1000,5.01,12.76
128,1000,5.07,25.24
256,1000,5.11,50.1
512,1000,5.16,99.28
1024,1000,5.82,175.82
2048,1000,5.56,368.07
4096,1000,6.45,635.38
8192,1000,6.89,1189.25
16384,1000,8.98,1824.52
32768,1000,14.36,2282.73
65536,640,29.93,2189.76
131072,320,44.36,2954.64
262144,160,62.01,4227.97
524288,80,98.0,5349.99
1048576,40,163.8,6401.66
2097152,20,329.17,6384.56
4194304,10,661.58,6340.01
8388608,5,1564.7,5362.2
16777216,2,3311.54,5066.33
33554432,1,6643.41,5050.9
67108864,1,13301.76,5045.21
134217728,1,26387.46,5086.6
268435456,1,52076.76,5154.62
