mpirun -np 2 --map by core ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.73
2,1000,0.21,9.41
4,1000,0.21,18.87
8,1000,0.21,37.56
16,1000,0.21,75.07
32,1000,0.25,129.94
64,1000,0.25,260.48
128,1000,0.35,364.98
256,1000,0.38,681.08
512,1000,0.46,1105.33
1024,1000,0.56,1818.98
2048,1000,0.80,2567.00
4096,1000,1.14,3580.27
8192,1000,1.90,4322.66
16384,1000,2.96,5536.85
32768,1000,4.74,6910.95
65536,640,8.08,8109.52
131072,320,14.69,8922.86
262144,160,13.94,18807.14
524288,80,25.11,20880.19
1048576,40,58.33,17976.94
2097152,20,159.17,13175.85
4194304,10,323.42,12968.76
8388608,5,943.33,8892.57
16777216,2,2434.17,6892.39
33554432,1,5239.45,6404.19
67108864,1,10731.39,6253.51
134217728,1,21242.50,6318.36
268435456,1,42369.09,6335.64
