#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.94,0.00
1,1000,5.04,0.20
2,1000,5.05,0.40
4,1000,5.03,0.79
8,1000,5.04,1.59
16,1000,5.01,3.19
32,1000,5.05,6.34
64,1000,5.04,12.69
128,1000,5.08,25.21
256,1000,5.16,49.65
512,1000,5.18,98.81
1024,1000,5.83,175.60
2048,1000,5.63,363.54
4096,1000,6.49,631.01
8192,1000,7.01,1168.58
16384,1000,9.04,1812.97
32768,1000,14.65,2237.05
65536,640,29.94,2189.07
131072,320,44.72,2930.81
262144,160,62.26,4210.78
524288,80,97.93,5353.59
1048576,40,165.05,6353.22
2097152,20,320.46,6544.11
4194304,10,664.31,6313.73
8388608,5,1543.64,5434.29
16777216,2,3323.35,5048.28
33554432,1,6623.36,5066.07
67108864,1,13410.85,5004.07
134217728,1,26297.75,5103.77
268435456,1,52032.79,5158.97
