mpirun -np 2 --map by node ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.74
2,1000,1.36,1.47
4,1000,1.36,2.94
8,1000,1.36,5.89
16,1000,1.36,11.75
32,1000,1.39,22.94
64,1000,1.70,37.70
128,1000,1.74,73.72
256,1000,1.99,128.72
512,1000,2.07,247.39
1024,1000,2.31,444.25
2048,1000,2.98,687.45
4096,1000,3.93,1042.79
8192,1000,5.53,1481.30
16384,1000,7.29,2246.40
32768,1000,10.01,3273.68
65536,640,14.50,4520.86
131072,320,23.49,5580.53
262144,160,33.95,7721.28
524288,80,58.13,9019.62
1048576,40,98.89,10603.46
2097152,20,185.16,11326.47
4194304,10,355.03,11814.01
8388608,5,697.57,12025.42
16777216,2,1381.52,12143.99
33554432,1,2760.94,12153.25
67108864,1,5506.08,12188.15
134217728,1,11024.70,12174.28
268435456,1,22064.64,12165.87
