#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.12,0.00
1,1000,16.12,0.06
2,1000,16.13,0.12
4,1000,16.10,0.25
8,1000,16.15,0.50
16,1000,16.16,0.99
32,1000,16.21,1.97
64,1000,16.23,3.94
128,1000,16.85,7.60
256,1000,16.67,15.36
512,1000,16.96,30.19
1024,1000,17.38,58.92
2048,1000,39.17,52.29
4096,1000,39.51,103.68
8192,1000,40.35,203.01
16384,1000,42.14,388.83
32768,1000,49.07,667.85
65536,640,80.25,816.61
131072,320,140.70,931.56
262144,160,205.08,1278.27
524288,80,331.16,1583.19
1048576,40,552.48,1897.93
2097152,20,975.23,2150.42
4194304,10,2031.73,2064.40
8388608,5,4144.43,2024.07
16777216,2,8371.21,2004.16
33554432,1,16448.60,2039.96
67108864,1,32779.38,2047.29
134217728,1,65356.68,2053.62
268435456,1,130158.84,2062.37
