#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.65,0.00
1,1000,8.76,0.11
2,1000,8.72,0.23
4,1000,8.73,0.46
8,1000,8.73,0.92
16,1000,8.67,1.84
32,1000,8.73,3.67
64,1000,8.75,7.31
128,1000,9.06,14.13
256,1000,9.07,28.23
512,1000,9.14,56.01
1024,1000,10.28,99.64
2048,1000,9.59,213.61
4096,1000,11.54,354.92
8192,1000,12.33,664.63
16384,1000,16.91,968.68
32768,1000,27.19,1205.17
65536,640,62.53,1048.12
131072,320,88.42,1482.42
262144,160,133.49,1963.78
524288,80,208.27,2517.32
1048576,40,359.12,2919.84
2097152,20,677.68,3094.60
4194304,10,1432.49,2927.97
8388608,5,2648.86,3166.87
16777216,2,5384.37,3115.91
33554432,1,10868.03,3087.44
67108864,1,21568.40,3111.44
134217728,1,43036.21,3118.72
268435456,1,85965.48,3122.60
