#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.29,3.46
2,1000,0.29,6.86
4,1000,0.29,13.84
8,1000,0.29,27.65
16,1000,0.29,56.04
32,1000,0.36,88.21
64,1000,0.36,179.62
128,1000,0.45,281.67
256,1000,0.48,528.61
512,1000,0.56,907.20
1024,1000,0.66,1551.03
2048,1000,0.90,2285.52
4096,1000,1.27,3216.44
8192,1000,2.01,4074.33
16384,1000,3.99,4109.66
32768,1000,4.85,6754.07
65536,640,6.61,9913.17
131072,320,8.77,14953.52
262144,160,13.67,19181.39
524288,80,26.06,20119.12
1048576,40,58.03,18069.42
2097152,20,150.82,13905.22
4194304,10,325.97,12867.22
8388608,5,950.96,8821.21
16777216,2,2591.01,6475.15
33554432,1,5490.14,6111.76
67108864,1,10849.48,6185.45
134217728,1,21873.22,6136.17
268435456,1,42617.13,6298.77
