#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.13,0.00
1,1000,5.12,0.20
2,1000,5.09,0.39
4,1000,5.09,0.79
8,1000,5.10,1.57
16,1000,5.12,3.13
32,1000,5.11,6.26
64,1000,5.13,12.48
128,1000,5.15,24.83
256,1000,5.20,49.26
512,1000,6.56,78.05
1024,1000,6.66,153.83
2048,1000,6.89,297.07
4096,1000,7.47,548.69
8192,1000,8.29,988.28
16384,1000,14.77,1109.53
32768,1000,22.44,1460.45
65536,640,39.19,1672.39
131072,320,75.66,1732.35
262144,160,53.93,4860.45
524288,80,89.89,5832.81
1048576,40,153.09,6849.57
2097152,20,305.39,6867.09
4194304,10,642.70,6526.06
8388608,5,1512.11,5547.62
16777216,2,3222.42,5206.40
33554432,1,6510.63,5153.79
67108864,1,12996.69,5163.53
134217728,1,25819.37,5198.33
268435456,1,51744.67,5187.69
