#mpirun -np 2 -f /var/spool/pbs/aux/58657.login.hpc ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.28,0.00
1,1000,1.27,0.78
2,1000,1.30,1.54
4,1000,1.29,3.11
8,1000,1.28,6.26
16,1000,1.28,12.53
32,1000,1.30,24.58
64,1000,1.42,45.00
128,1000,1.47,87.15
256,1000,1.71,149.51
512,1000,1.77,288.59
1024,1000,1.94,527.56
2048,1000,2.57,797.12
4096,1000,3.28,1246.91
8192,1000,4.10,1997.03
16384,1000,5.83,2812.19
32768,1000,10.34,3169.72
65536,640,13.24,4948.05
131072,320,21.91,5982.98
262144,160,33.03,7936.07
524288,80,56.05,9353.98
1048576,40,98.57,10637.71
2097152,20,184.94,11339.73
4194304,10,354.14,11843.55
8388608,5,696.17,12049.65
16777216,2,1385.50,12109.15
33554432,1,2765.92,12131.40
67108864,1,5522.12,12152.73
134217728,1,11020.33,12179.10
268435456,1,22039.53,12179.73
