#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.28,0.00
1,1000,1.27,0.79
2,1000,1.29,1.55
4,1000,1.28,3.12
8,1000,1.29,6.21
16,1000,1.28,12.50
32,1000,1.30,24.59
64,1000,1.44,44.32
128,1000,1.48,86.36
256,1000,3.37,76.01
512,1000,1.81,283.64
1024,1000,1.97,518.85
2048,1000,2.59,790.26
4096,1000,3.27,1253.42
8192,1000,4.12,1988.62
16384,1000,5.84,2807.84
32768,1000,10.33,3171.10
65536,640,12.94,5064.43
131072,320,22.35,5863.92
262144,160,33.18,7899.62
524288,80,55.57,9435.36
1048576,40,98.56,10638.49
2097152,20,184.37,11374.87
4194304,10,353.71,11857.91
8388608,5,696.74,12039.75
16777216,2,1382.17,12138.35
33554432,1,2757.14,12170.03
67108864,1,5517.52,12162.87
134217728,1,11034.03,12163.98
268435456,1,21919.20,12246.59
