#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.02,0.00
1,1000,7.93,0.13
2,1000,7.94,0.25
4,1000,7.95,0.50
8,1000,7.92,1.01
16,1000,7.95,2.01
32,1000,7.98,4.01
64,1000,8.01,7.99
128,1000,8.03,15.95
256,1000,8.08,31.68
512,1000,10.60,48.28
1024,1000,11.03,92.85
2048,1000,12.82,159.70
4096,1000,13.80,296.90
8192,1000,16.29,502.80
16384,1000,25.76,635.94
32768,1000,36.75,891.62
65536,640,60.27,1087.36
131072,320,110.34,1187.87
262144,160,137.14,1911.52
524288,80,229.83,2281.24
1048576,40,413.03,2538.74
2097152,20,797.19,2630.69
4194304,10,1498.78,2798.49
8388608,5,3164.57,2650.79
16777216,2,6959.15,2410.81
33554432,1,12565.00,2670.47
67108864,1,23920.01,2805.55
134217728,1,49777.03,2696.38
268435456,1,95033.55,2824.64
