#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.48,2.08
2,1000,0.48,4.17
4,1000,0.48,8.35
8,1000,0.48,16.72
16,1000,0.48,33.52
32,1000,0.51,62.95
64,1000,0.49,129.37
128,1000,0.60,211.66
256,1000,0.63,403.98
512,1000,0.98,523.36
1024,1000,1.03,997.04
2048,1000,1.18,1734.16
4096,1000,1.63,2515.03
8192,1000,2.15,3806.57
16384,1000,3.57,4593.86
32768,1000,5.48,5980.72
65536,640,9.26,7078.08
131072,320,15.41,8505.32
262144,160,29.10,9008.66
524288,80,66.43,7891.90
1048576,40,132.64,7905.65
2097152,20,260.73,8043.26
4194304,10,513.51,8167.98
8388608,5,1066.57,7865.04
16777216,2,2324.16,7218.60
33554432,1,7921.26,4236.00
67108864,1,15758.08,4258.69
134217728,1,31668.37,4238.23
268435456,1,63295.55,4240.98
