#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.38,0.72
2,1000,1.39,1.44
4,1000,1.38,2.89
8,1000,1.37,5.84
16,1000,1.38,11.61
32,1000,1.39,23.08
64,1000,1.50,42.68
128,1000,1.69,75.94
256,1000,1.70,150.70
512,1000,1.78,287.93
1024,1000,1.83,558.04
2048,1000,2.27,904.12
4096,1000,3.82,1073.06
8192,1000,3.59,2279.34
16384,1000,3.98,4113.58
32768,1000,4.90,6685.50
65536,640,6.64,9864.32
131072,320,10.55,12423.65
262144,160,17.59,14901.55
524288,80,37.28,14063.83
1048576,40,99.84,10502.19
2097152,20,239.14,8769.67
4194304,10,494.17,8487.51
8388608,5,1202.43,6976.40
16777216,2,3950.31,4247.07
33554432,1,9671.28,3469.49
67108864,1,20024.16,3351.39
134217728,1,38893.17,3450.93
268435456,1,76491.96,3509.33
