#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.66,0.00
1,1000,0.67,1.48
2,1000,0.67,2.97
4,1000,0.67,5.95
8,1000,0.68,11.84
16,1000,0.68,23.63
32,1000,0.71,45.11
64,1000,0.70,91.33
128,1000,0.74,172.90
256,1000,0.68,376.78
512,1000,1.12,457.03
1024,1000,1.21,845.59
2048,1000,1.31,1567.09
4096,1000,1.75,2344.29
8192,1000,2.31,3540.81
16384,1000,3.68,4447.74
32768,1000,5.41,6058.02
65536,640,9.40,6971.16
131072,320,15.55,8431.05
262144,160,29.26,8957.99
524288,80,69.28,7567.34
1048576,40,134.30,7807.73
2097152,20,262.70,7983.06
4194304,10,517.51,8104.77
8388608,5,1077.93,7782.16
16777216,2,2318.10,7237.48
33554432,1,7903.81,4245.35
67108864,1,15877.46,4226.68
134217728,1,31758.73,4226.17
268435456,1,62666.03,4283.59
