mpirun -np 2 --map by core ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.79
2,1000,0.22,9.21
4,1000,0.21,18.96
8,1000,0.21,38.13
16,1000,0.21,75.70
32,1000,0.25,130.53
64,1000,0.24,261.96
128,1000,0.44,293.76
256,1000,0.53,479.71
512,1000,0.46,1106.02
1024,1000,0.56,1817.96
2048,1000,0.78,2638.30
4096,1000,1.15,3569.61
8192,1000,1.89,4335.21
16384,1000,2.94,5574.44
32768,1000,4.72,6945.64
65536,640,8.07,8119.93
131072,320,14.63,8960.28
262144,160,13.87,18895.66
524288,80,25.64,20445.60
1048576,40,59.19,17716.12
2097152,20,157.11,13348.08
4194304,10,333.18,12588.60
8388608,5,940.43,8919.94
16777216,2,2483.93,6754.31
33554432,1,5462.32,6142.89
67108864,1,10857.00,6181.16
134217728,1,21740.27,6173.69
268435456,1,42771.93,6275.97
