#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.31,0.00
1,1000,5.44,0.18
2,1000,5.41,0.37
4,1000,5.42,0.74
8,1000,5.42,1.48
16,1000,5.39,2.97
32,1000,5.41,5.92
64,1000,5.42,11.82
128,1000,5.50,23.27
256,1000,5.53,46.26
512,1000,5.56,92.10
1024,1000,6.14,166.75
2048,1000,5.89,347.88
4096,1000,6.76,606.03
8192,1000,7.24,1132.27
16384,1000,9.60,1706.42
32768,1000,15.36,2133.13
65536,640,31.77,2062.80
131072,320,46.67,2808.20
262144,160,61.50,4262.46
524288,80,97.29,5388.75
1048576,40,162.94,6435.54
2097152,20,320.95,6534.17
4194304,10,658.25,6371.92
8388608,5,1564.88,5360.53
16777216,2,3797.17,4418.35
33554432,1,6736.88,4980.71
67108864,1,13415.98,5002.16
134217728,1,26333.10,5096.92
268435456,1,51933.70,5168.81
