mpirun -np 2 --map by node ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.36,0.73
2,1000,1.36,1.47
4,1000,1.36,2.94
8,1000,1.36,5.88
16,1000,1.37,11.70
32,1000,1.40,22.87
64,1000,1.69,37.79
128,1000,1.75,73.30
256,1000,3.46,73.90
512,1000,2.08,246.68
1024,1000,2.30,444.91
2048,1000,2.99,684.46
4096,1000,3.98,1029.57
8192,1000,5.51,1487.36
16384,1000,7.34,2233.08
32768,1000,10.02,3270.47
65536,640,14.52,4514.73
131072,320,23.51,5574.51
262144,160,33.91,7731.08
524288,80,58.13,9019.61
1048576,40,98.82,10611.21
2097152,20,184.60,11360.77
4194304,10,356.93,11751.13
8388608,5,697.69,12023.38
16777216,2,1386.03,12104.52
33554432,1,2762.68,12145.60
67108864,1,5504.80,12190.98
134217728,1,11034.94,12162.98
268435456,1,22090.20,12151.79
