#mpirun -np 2 --map-by node --mca pml ob1 --mca btl self,tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.11,0.00
1,1000,16.10,0.06
2,1000,16.08,0.12
4,1000,16.03,0.25
8,1000,16.25,0.49
16,1000,16.11,0.99
32,1000,16.16,1.98
64,1000,16.19,3.95
128,1000,16.85,7.60
256,1000,16.64,15.39
512,1000,16.96,30.19
1024,1000,17.47,58.61
2048,1000,39.25,52.18
4096,1000,39.52,103.63
8192,1000,40.45,202.54
16384,1000,42.35,386.85
32768,1000,49.11,667.21
65536,640,80.31,816.05
131072,320,142.09,922.48
262144,160,206.04,1272.29
524288,80,329.96,1588.94
1048576,40,556.33,1884.83
2097152,20,982.10,2135.38
4194304,10,1993.92,2103.55
8388608,5,4128.04,2032.10
16777216,2,8358.31,2007.25
33554432,1,16680.57,2011.59
67108864,1,33066.60,2029.51
134217728,1,66151.57,2028.94
268435456,1,128745.28,2085.01
