#mpirun -np 2 --map-by node --mca pml ucx --mca btl ^uct -x UCX_NET_DEVICES=mlx5_0:1 ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.37,0.73
2,1000,1.36,1.47
4,1000,1.37,2.92
8,1000,1.36,5.88
16,1000,1.37,11.65
32,1000,1.41,22.72
64,1000,1.69,37.82
128,1000,1.74,73.72
256,1000,1.99,128.65
512,1000,2.08,245.58
1024,1000,2.32,442.27
2048,1000,2.99,684.96
4096,1000,3.98,1029.36
8192,1000,5.53,1480.89
16384,1000,7.31,2240.09
32768,1000,10.00,3277.56
65536,640,14.48,4524.98
131072,320,23.46,5587.85
262144,160,33.23,7888.41
524288,80,55.83,9391.42
1048576,40,98.96,10596.17
2097152,20,186.00,11275.16
4194304,10,355.02,11814.21
8388608,5,696.67,12040.98
16777216,2,1381.90,12140.65
33554432,1,2768.24,12121.23
67108864,1,5508.43,12182.93
134217728,1,11021.26,12178.07
268435456,1,22069.69,12163.08
