#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.39,0.00
1,1000,8.44,0.12
2,1000,8.46,0.24
4,1000,8.43,0.47
8,1000,8.43,0.95
16,1000,8.46,1.89
32,1000,8.43,3.80
64,1000,8.46,7.57
128,1000,8.78,14.58
256,1000,8.81,29.07
512,1000,8.91,57.44
1024,1000,10.34,99.00
2048,1000,9.48,215.97
4096,1000,11.57,354.04
8192,1000,12.17,672.86
16384,1000,16.89,970.02
32768,1000,27.22,1204.00
65536,640,62.67,1045.71
131072,320,91.05,1439.56
262144,160,135.85,1929.59
524288,80,207.17,2530.71
1048576,40,358.06,2928.46
2097152,20,674.57,3108.87
4194304,10,1345.87,3116.43
8388608,5,2646.76,3169.39
16777216,2,5390.44,3112.40
33554432,1,10822.81,3100.34
67108864,1,21496.09,3121.91
134217728,1,42945.54,3125.30
268435456,1,85837.02,3127.27
