#mpirun -np 2 mpirun -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ~./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.32, bandwidth[Mbytes/sec] (computed) -> 5216.97
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.29,0.0,0.32,0.0
1,1000,0.3,3.35,0.32,3.14
2,1000,0.3,6.72,0.32,6.28
4,1000,0.3,13.49,0.32,12.54
8,1000,0.29,27.1,0.32,25.02
16,1000,0.3,53.94,0.32,49.79
32,1000,0.31,104.63,0.32,98.65
64,1000,0.3,209.57,0.33,193.63
128,1000,0.31,416.97,0.34,373.4
256,1000,0.32,796.31,0.37,696.92
512,1000,0.55,925.01,0.42,1229.58
1024,1000,0.62,1664.39,0.51,1990.12
2048,1000,0.74,2772.31,0.71,2881.17
4096,1000,0.96,4267.78,1.1,3712.21
8192,1000,1.51,5421.82,1.89,4337.81
16384,1000,2.39,6849.13,3.46,4736.95
32768,1000,3.6,9118.06,6.6,4965.4
65536,640,5.85,11206.39,12.88,5088.09
131072,320,8.82,14856.87,25.44,5151.74
262144,160,15.77,16628.25,50.57,5184.16
524288,80,41.55,12622.56,100.81,5200.53
1048576,40,84.4,12424.32,201.31,5208.75
2097152,20,163.11,12858.31,402.3,5212.87
4194304,10,407.24,10302.48,804.29,5214.93
8388608,5,1043.41,8039.84,1608.26,5215.97
16777216,2,2150.71,7801.21,3216.19,5216.48
33554432,1,6032.51,5562.38,6432.07,5216.74
67108864,1,12466.39,5383.42,12863.82,5216.87
134217728,1,25778.24,5206.68,25727.32,5216.93
268435456,1,52772.97,5086.65,51454.32,5216.97
