#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.52, bandwidth[Mbytes/sec] (computed) -> 5214.04
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.5,0.0,0.52,0.0
1,1000,0.5,2.02,0.52,1.92
2,1000,0.5,4.0,0.52,3.84
4,1000,0.5,8.0,0.52,7.67
8,1000,0.5,16.2,0.52,15.31
16,1000,0.5,31.97,0.52,30.53
32,1000,0.51,63.44,0.53,60.71
64,1000,0.5,127.97,0.53,120.03
128,1000,0.5,256.66,0.55,234.65
256,1000,0.51,503.28,0.57,449.09
512,1000,0.76,676.58,0.62,826.96
1024,1000,0.84,1220.93,0.72,1427.51
2048,1000,0.95,2142.85,0.91,2241.38
4096,1000,1.15,3548.86,1.31,3135.08
8192,1000,1.6,5137.2,2.09,3915.74
16384,1000,2.42,6773.83,3.66,4472.6
32768,1000,3.55,9221.43,6.81,4814.96
65536,640,5.9,11103.82,13.09,5006.59
131072,320,8.9,14732.67,25.66,5108.23
262144,160,15.85,16551.15,50.8,5160.62
524288,80,42.22,12419.1,101.07,5187.22
1048576,40,83.77,12517.04,201.63,5200.62
2097152,20,165.48,12674.15,402.73,5207.35
4194304,10,409.66,10240.45,804.94,5210.72
8388608,5,1032.67,8125.05,1609.35,5212.4
16777216,2,2197.16,7642.65,3218.19,5213.25
33554432,1,6047.38,5548.66,6435.86,5213.67
67108864,1,12448.19,5391.09,12871.19,5213.88
134217728,1,25801.82,5201.96,25741.86,5213.99
268435456,1,52752.85,5088.61,51483.21,5214.04
