mpirun -np 2 --map by core ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 0.26, bandwidth[Mbytes/sec] (computed) -> 6157.24
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.22,0.0,0.26,0.0
1,1000,0.21,4.76,0.26,3.89
2,1000,0.21,9.36,0.26,7.77
4,1000,0.21,18.87,0.26,15.53
8,1000,0.21,37.33,0.26,30.97
16,1000,0.21,75.35,0.26,61.64
32,1000,0.25,129.66,0.26,122.05
64,1000,0.25,260.06,0.27,239.35
128,1000,0.37,352.2,0.28,460.79
256,1000,0.41,639.08,0.3,857.42
512,1000,0.46,1111.97,0.34,1505.23
1024,1000,0.56,1826.73,0.42,2419.08
2048,1000,0.78,2626.31,0.59,3473.49
4096,1000,1.15,3574.87,0.92,4441.44
8192,1000,1.9,4325.3,1.59,5160.47
16384,1000,2.95,5563.1,2.92,5614.98
32768,1000,4.73,6930.96,5.58,5873.64
65536,640,8.22,7981.41,10.9,6012.12
131072,320,14.67,8936.57,21.54,6083.83
262144,160,13.95,18797.78,42.83,6120.34
524288,80,25.28,20737.22,85.41,6138.75
1048576,40,59.12,17737.45,170.56,6148.0
2097152,20,156.63,13391.91,340.85,6152.64
4194304,10,331.35,12660.57,681.45,6154.96
8388608,5,945.16,8875.69,1362.65,6156.12
16777216,2,2472.15,6786.92,2725.03,6156.7
33554432,1,5378.18,6240.55,5449.81,6156.99
67108864,1,10855.86,6182.13,10899.36,6157.14
134217728,1,21692.68,6188.21,21798.47,6157.21
268435456,1,42673.45,6290.54,43596.68,6157.24
