mpirun -np 2 --map by node ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 1.58, bandwidth[Mbytes/sec] (computed) -> 12185.46
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,1.37,0.0,1.58,0.0
1,1000,1.36,0.73,1.58,0.63
2,1000,1.36,1.47,1.58,1.27
4,1000,1.36,2.94,1.58,2.54
8,1000,1.36,5.87,1.58,5.07
16,1000,1.37,11.72,1.58,10.14
32,1000,1.4,22.87,1.58,20.26
64,1000,1.69,37.78,1.58,40.45
128,1000,1.73,73.92,1.59,80.63
256,1000,2.86,96.22,1.6,160.2
512,1000,2.08,246.76,1.62,316.25
1024,1000,2.3,445.16,1.66,616.49
2048,1000,2.98,686.69,1.75,1173.61
4096,1000,3.93,1043.42,1.91,2141.03
8192,1000,5.55,1475.96,2.25,3642.17
16384,1000,7.29,2246.86,2.92,5608.19
32768,1000,10.03,3266.05,4.27,7681.39
65536,640,14.48,4528.3,6.95,9423.12
131072,320,23.5,5578.81,12.33,10628.06
262144,160,33.92,7727.21,23.09,11353.98
524288,80,58.13,9019.55,44.6,11755.44
1048576,40,98.87,10606.12,87.62,11967.01
2097152,20,184.84,11345.84,173.67,12075.68
4194304,10,355.27,11805.87,345.76,12130.75
8388608,5,697.74,12022.43,689.94,12158.48
16777216,2,1384.5,12117.9,1378.3,12172.39
33554432,1,2764.87,12135.99,2755.02,12179.36
67108864,1,5514.5,12169.56,5508.47,12182.85
134217728,1,11025.04,12173.9,11015.37,12184.59
268435456,1,22074.86,12160.23,22029.16,12185.46
