#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> 5.81, bandwidth[Mbytes/sec] (computed) -> 12219.93
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,1.2,0.0,5.81,0.0
1,1000,1.19,0.84,5.81,0.17
2,1000,1.19,1.68,5.81,0.34
4,1000,1.2,3.35,5.81,0.69
8,1000,1.19,6.72,5.81,1.38
16,1000,1.19,13.42,5.81,2.75
32,1000,1.23,26.1,5.81,5.51
64,1000,1.45,44.16,5.81,11.01
128,1000,1.51,85.2,5.82,22.0
256,1000,1.78,144.46,5.83,43.92
512,1000,1.86,276.47,5.85,87.52
1024,1000,2.05,500.69,5.89,173.8
2048,1000,2.78,737.59,5.98,342.72
4096,1000,3.62,1133.42,6.14,666.75
8192,1000,4.67,1757.97,6.48,1264.52
16384,1000,6.32,2595.12,7.15,2291.94
32768,1000,9.76,3357.49,8.49,3860.08
65536,640,12.77,5132.31,11.17,5867.27
131072,320,21.9,5985.84,16.53,7928.68
262144,160,32.85,7980.72,27.25,9618.33
524288,80,54.56,9610.76,48.7,10765.42
1048576,40,97.36,10770.79,91.59,11448.07
2097152,20,183.26,11444.55,177.38,11822.93
4194304,10,354.05,11846.62,348.95,12019.72
8388608,5,697.28,12030.49,692.1,12120.59
16777216,2,1383.92,12123.01,1378.38,12171.66
33554432,1,2757.15,12169.98,2750.96,12197.36
67108864,1,5506.4,12187.45,5496.11,12210.25
134217728,1,10989.54,12213.32,10986.41,12216.7
268435456,1,21961.43,12223.07,21967.02,12219.93
