#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -152.09, bandwidth[Mbytes/sec] (computed) -> 3501.06
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.54,0.0,-152.09,-0.0
1,1000,0.61,1.64,-152.09,-0.01
2,1000,0.61,3.3,-152.09,-0.01
4,1000,0.6,6.63,-152.09,-0.03
8,1000,0.6,13.23,-152.09,-0.05
16,1000,0.66,24.46,-152.09,-0.11
32,1000,0.75,43.15,-152.09,-0.21
64,1000,0.83,77.3,-152.08,-0.42
128,1000,1.01,127.86,-152.06,-0.84
256,1000,1.16,222.63,-152.02,-1.68
512,1000,1.08,477.96,-151.95,-3.37
1024,1000,1.45,705.83,-151.8,-6.75
2048,1000,1.73,1186.74,-151.51,-13.52
4096,1000,2.71,1510.01,-150.92,-27.14
8192,1000,3.31,2472.14,-149.75,-54.7
16384,1000,3.8,4312.53,-147.41,-111.15
32768,1000,4.93,6655.09,-142.72,-229.6
65536,640,6.44,10185.51,-133.34,-491.5
131072,320,11.32,11582.02,-114.58,-1143.91
262144,160,19.62,13361.49,-77.07,-3401.36
524288,80,39.24,13362.19,-2.05,-256220.55
1048576,40,89.92,11663.25,148.0,7084.87
2097152,20,214.37,9783.1,448.1,4680.11
4194304,10,424.05,9896.67,1048.29,4001.08
8388608,5,1029.65,8148.34,2248.68,3730.46
16777216,2,3789.96,4426.79,4649.45,3608.43
33554432,1,9475.71,3541.11,9451.0,3550.36
67108864,1,19068.09,3519.45,19054.1,3522.02
134217728,1,37984.82,3533.47,38260.3,3508.02
268435456,1,76907.15,3492.34,76672.69,3501.06
