#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,3.51,0.00
1,1000,3.78,0.26
2,1000,3.84,0.52
4,1000,3.69,1.08
8,1000,3.61,2.22
16,1000,3.71,4.31
32,1000,3.66,8.74
64,1000,3.57,17.93
128,1000,3.03,42.20
256,1000,3.21,79.80
512,1000,3.66,139.84
1024,1000,3.61,283.83
2048,1000,3.52,581.43
4096,1000,4.17,981.11
8192,1000,4.24,1932.22
16384,1000,4.75,3446.59
32768,1000,5.39,6075.43
65536,640,6.77,9679.65
131072,320,9.97,13151.44
262144,160,14.81,17705.00
524288,80,30.41,17239.66
1048576,40,87.84,11937.38
2097152,20,190.90,10985.80
4194304,10,462.01,9078.32
8388608,5,1650.58,5082.20
16777216,2,3937.77,4260.58
33554432,1,7987.86,4200.68
67108864,1,16060.89,4178.40
134217728,1,31752.97,4226.93
268435456,1,63299.93,4240.69
