#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.80,0.00
1,1000,4.86,0.21
2,1000,4.86,0.41
4,1000,4.86,0.82
8,1000,4.84,1.65
16,1000,4.86,3.30
32,1000,4.85,6.59
64,1000,4.88,13.12
128,1000,4.89,26.16
256,1000,4.90,52.20
512,1000,6.54,78.24
1024,1000,6.69,153.17
2048,1000,6.94,295.24
4096,1000,7.63,536.87
8192,1000,8.40,975.14
16384,1000,14.79,1107.89
32768,1000,22.28,1471.01
65536,640,39.79,1646.97
131072,320,75.08,1745.85
262144,160,53.97,4857.22
524288,80,89.51,5857.01
1048576,40,151.28,6931.36
2097152,20,276.02,7597.91
4194304,10,610.29,6872.59
8388608,5,1447.67,5794.58
16777216,2,3171.72,5289.62
33554432,1,6524.40,5142.91
67108864,1,12882.21,5209.42
134217728,1,25577.79,5247.43
268435456,1,51364.74,5226.06
