#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.22,0.00
1,1000,1.21,0.82
2,1000,1.20,1.66
4,1000,1.21,3.30
8,1000,1.21,6.61
16,1000,1.21,13.19
32,1000,1.24,25.73
64,1000,1.48,43.37
128,1000,1.53,83.72
256,1000,1.80,142.48
512,1000,1.88,272.33
1024,1000,2.07,493.93
2048,1000,2.78,735.62
4096,1000,3.65,1121.17
8192,1000,4.74,1727.97
16384,1000,6.46,2537.14
32768,1000,9.72,3369.76
65536,640,12.77,5133.66
131072,320,21.58,6074.03
262144,160,32.69,8020.15
524288,80,55.09,9517.52
1048576,40,96.93,10817.57
2097152,20,183.79,11410.78
4194304,10,354.70,11824.80
8388608,5,698.74,12005.38
16777216,2,1386.37,12101.58
33554432,1,2761.47,12150.94
67108864,1,5511.82,12175.44
134217728,1,11010.06,12190.46
268435456,1,21943.62,12232.96
