#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.23
2,1000,0.45,4.45
4,1000,0.44,9.00
8,1000,0.45,17.96
16,1000,0.45,35.82
32,1000,0.62,51.66
64,1000,0.62,102.40
128,1000,1.04,123.48
256,1000,1.11,231.55
512,1000,1.18,434.60
1024,1000,1.49,689.24
2048,1000,2.25,910.64
4096,1000,3.24,1263.81
8192,1000,5.20,1575.72
16384,1000,4.66,3515.30
32768,1000,5.28,6202.70
65536,640,6.70,9780.86
131072,320,9.14,14339.09
262144,160,13.16,19921.03
524288,80,25.54,20525.73
1048576,40,49.86,21030.92
2097152,20,140.97,14877.09
4194304,10,292.30,14349.36
8388608,5,640.43,13098.41
16777216,2,2079.44,8068.12
33554432,1,5996.45,5595.72
67108864,1,12379.63,5420.91
134217728,1,24902.00,5389.84
268435456,1,49017.60,5476.31
