#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.55,0.00
1,1000,1.55,0.65
2,1000,1.55,1.29
4,1000,1.56,2.57
8,1000,1.56,5.12
16,1000,1.55,10.31
32,1000,1.55,20.65
64,1000,1.63,39.31
128,1000,1.83,70.09
256,1000,1.93,132.31
512,1000,2.03,252.39
1024,1000,2.06,496.87
2048,1000,2.41,850.66
4096,1000,3.52,1164.11
8192,1000,3.90,2098.11
16384,1000,4.40,3723.78
32768,1000,5.20,6298.65
65536,640,6.54,10026.22
131072,320,9.60,13652.09
262144,160,15.11,17352.29
524288,80,32.39,16186.23
1048576,40,86.14,12172.72
2097152,20,202.33,10365.24
4194304,10,413.76,10137.12
8388608,5,1077.34,7786.43
16777216,2,3659.47,4584.60
33554432,1,9327.52,3597.36
67108864,1,18848.36,3560.46
134217728,1,37799.77,3550.76
268435456,1,74720.18,3592.54
