#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.83,0.00
1,1000,7.87,0.13
2,1000,7.85,0.25
4,1000,7.82,0.51
8,1000,7.83,1.02
16,1000,7.84,2.04
32,1000,7.82,4.09
64,1000,8.05,7.95
128,1000,8.03,15.93
256,1000,8.12,31.54
512,1000,9.83,52.09
1024,1000,10.06,101.83
2048,1000,10.47,195.55
4096,1000,12.16,336.84
8192,1000,12.86,636.80
16384,1000,23.08,709.74
32768,1000,33.42,980.40
65536,640,56.56,1158.75
131072,320,103.04,1272.03
262144,160,112.01,2340.38
524288,80,171.93,3049.43
1048576,40,306.85,3417.28
2097152,20,621.89,3372.21
4194304,10,1233.01,3401.67
8388608,5,2439.76,3438.30
16777216,2,5012.28,3347.22
33554432,1,10301.60,3257.20
67108864,1,20325.44,3301.72
134217728,1,41251.92,3253.61
268435456,1,81046.42,3312.12
