#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,2 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.0
1,1000,0.24,4.08
2,1000,0.24,8.14
4,1000,0.25,16.24
8,1000,0.24,32.53
16,1000,0.24,65.05
32,1000,0.29,109.6
64,1000,0.29,220.15
128,1000,0.38,337.18
256,1000,0.42,610.89
512,1000,0.46,1111.11
1024,1000,0.59,1735.08
2048,1000,0.84,2445.13
4096,1000,1.21,3384.83
8192,1000,1.98,4146.43
16384,1000,3.66,4471.35
32768,1000,4.42,7424.6
65536,640,6.04,10846.3
131072,320,8.37,15660.05
262144,160,12.47,21026.4
524288,80,23.57,22256.07
1048576,40,49.73,21087.58
2097152,20,135.41,15487.65
4194304,10,301.03,13934.74
8388608,5,893.03,9393.6
16777216,2,2349.9,7140.09
33554432,1,5339.0,6284.96
67108864,1,10621.63,6318.21
134217728,1,21457.32,6255.3
268435456,1,42628.53,6297.14
