#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER shm ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.54,0.0
1,1000,1.55,0.65
2,1000,1.54,1.3
4,1000,1.55,2.59
8,1000,1.55,5.16
16,1000,1.55,10.33
32,1000,1.54,20.73
64,1000,1.61,39.69
128,1000,1.81,70.61
256,1000,1.92,133.52
512,1000,2.01,254.42
1024,1000,2.04,501.55
2048,1000,2.39,857.48
4096,1000,3.45,1188.68
8192,1000,3.91,2096.16
16384,1000,4.35,3767.06
32768,1000,5.15,6361.75
65536,640,6.64,9882.82
131072,320,9.53,13760.33
262144,160,15.34,17091.99
524288,80,32.5,16137.04
1048576,40,85.67,12241.72
2097152,20,201.98,10383.23
4194304,10,409.94,10231.8
8388608,5,1057.17,7937.24
16777216,2,3674.38,4566.29
33554432,1,9375.91,3578.84
67108864,1,18908.04,3549.25
134217728,1,37745.22,3555.9
268435456,1,74860.14,3585.85
