#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.03,0.0
1,1000,8.05,0.12
2,1000,8.04,0.25
4,1000,8.03,0.5
8,1000,8.03,1.0
16,1000,8.02,2.0
32,1000,8.02,4.0
64,1000,8.28,7.74
128,1000,8.27,15.49
256,1000,8.32,30.78
512,1000,10.05,50.97
1024,1000,10.23,100.18
2048,1000,10.7,191.43
4096,1000,12.01,341.24
8192,1000,13.32,615.44
16384,1000,23.48,698.1
32768,1000,34.69,945.47
65536,640,56.89,1152.25
131072,320,103.97,1260.75
262144,160,112.17,2338.27
524288,80,171.82,3051.7
1048576,40,304.11,3448.4
2097152,20,617.69,3395.59
4194304,10,1223.38,3428.86
8388608,5,2422.02,3464.09
16777216,2,4990.82,3362.42
33554432,1,10219.22,3284.03
67108864,1,20250.85,3314.23
134217728,1,40731.23,3295.36
268435456,1,80706.32,3326.36
