#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.22,0.0
1,1000,5.29,0.19
2,1000,5.3,0.38
4,1000,5.29,0.76
8,1000,5.3,1.51
16,1000,5.29,3.03
32,1000,5.31,6.03
64,1000,5.31,12.08
128,1000,5.38,23.82
256,1000,5.42,47.3
512,1000,5.45,94.01
1024,1000,6.06,169.22
2048,1000,5.9,347.64
4096,1000,6.81,601.51
8192,1000,7.27,1128.72
16384,1000,9.56,1715.07
32768,1000,15.4,2129.39
65536,640,29.74,2205.28
131072,320,41.8,3138.72
262144,160,61.23,4283.45
524288,80,95.63,5484.71
1048576,40,162.08,6470.92
2097152,20,307.9,6813.29
4194304,10,657.14,6383.28
8388608,5,1629.13,5149.72
16777216,2,3398.5,4937.03
33554432,1,6802.62,4933.24
67108864,1,13576.44,4943.55
134217728,1,26611.91,5045.58
268435456,1,52650.4,5101.49
