#mpirun -np 2 --map-by socket --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.12,0.00
1,1000,8.17,0.12
2,1000,8.18,0.24
4,1000,8.16,0.49
8,1000,8.18,0.98
16,1000,8.21,1.95
32,1000,8.18,3.91
64,1000,8.24,7.77
128,1000,8.59,14.89
256,1000,8.65,29.60
512,1000,8.71,58.78
1024,1000,9.81,104.38
2048,1000,9.22,222.04
4096,1000,10.98,373.16
8192,1000,11.72,698.77
16384,1000,15.81,1036.57
32768,1000,25.74,1272.96
65536,640,57.02,1149.26
131072,320,80.57,1626.86
262144,160,122.04,2147.94
524288,80,194.35,2697.69
1048576,40,325.59,3220.57
2097152,20,617.27,3397.48
4194304,10,1202.81,3487.08
8388608,5,2396.65,3500.13
16777216,2,5231.54,3206.94
33554432,1,10718.04,3130.65
67108864,1,21235.15,3160.27
134217728,1,40254.18,3334.26
268435456,1,80996.42,3314.16
