#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
#lambda[usec] (computed) -> -51.15, bandwidth[Mbytes/sec] (computed) -> 4189.1
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.25,0.0,-51.15,-0.0
1,1000,0.28,3.66,-51.15,-0.02
2,1000,0.27,7.33,-51.15,-0.04
4,1000,0.27,14.72,-51.15,-0.08
8,1000,0.27,29.4,-51.15,-0.16
16,1000,0.3,54.28,-51.15,-0.31
32,1000,0.3,107.76,-51.15,-0.63
64,1000,0.34,188.41,-51.14,-1.25
128,1000,0.38,331.73,-51.12,-2.5
256,1000,0.46,562.58,-51.09,-5.01
512,1000,0.62,831.71,-51.03,-10.03
1024,1000,0.73,1397.79,-50.91,-20.11
2048,1000,0.88,2325.48,-50.66,-40.42
4096,1000,1.77,2319.4,-50.18,-81.63
8192,1000,2.1,3911.47,-49.2,-166.51
16384,1000,2.67,6142.75,-47.24,-346.83
32768,1000,3.65,8969.65,-43.33,-756.32
65536,640,5.37,12226.39,-35.5,-1846.24
131072,320,9.46,13893.26,-19.84,-6606.39
262144,160,18.68,14043.76,11.47,22847.52
524288,80,37.57,13958.15,74.1,7075.29
1048576,40,87.02,12054.31,199.36,5259.8
2097152,20,209.56,10009.67,449.87,4661.71
4194304,10,486.27,8635.23,950.89,4410.93
8388608,5,1556.53,5389.43,1952.93,4295.4
16777216,2,3885.65,4317.77,3957.02,4239.87
33554432,1,8043.3,4171.73,7965.18,4212.64
67108864,1,16180.63,4147.49,15981.52,4199.15
134217728,1,32275.3,4158.53,32014.2,4192.44
268435456,1,63915.91,4199.82,64079.55,4189.1
