#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.50,0.00
1,1000,7.98,0.13
2,1000,7.97,0.25
4,1000,7.88,0.51
8,1000,7.91,1.01
16,1000,7.89,2.03
32,1000,7.94,4.03
64,1000,7.98,8.02
128,1000,8.03,15.93
256,1000,8.08,31.70
512,1000,10.53,48.60
1024,1000,10.89,94.05
2048,1000,12.86,159.21
4096,1000,13.91,294.55
8192,1000,15.74,520.36
16384,1000,25.75,636.35
32768,1000,36.66,893.77
65536,640,63.28,1035.58
131072,320,119.24,1099.21
262144,160,152.43,1719.79
524288,80,224.03,2340.23
1048576,40,368.31,2846.98
2097152,20,682.84,3071.22
4194304,10,1429.11,2934.90
8388608,5,2816.99,2977.86
16777216,2,5888.85,2848.98
33554432,1,11960.26,2805.49
67108864,1,23998.06,2796.43
134217728,1,47685.77,2814.63
268435456,1,95904.86,2798.98
