#mpirun -np 2 -genv I_MPI_PIN_PROCESSOR_LIST=0,1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ~/mpi-benchmarks/src_c/IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.66,0.00
1,1000,0.69,1.45
2,1000,0.71,2.81
4,1000,0.71,5.61
8,1000,0.68,11.76
16,1000,0.67,24.01
32,1000,0.69,46.05
64,1000,0.67,95.85
128,1000,0.69,184.43
256,1000,0.74,343.91
512,1000,1.13,452.33
1024,1000,1.28,800.29
2048,1000,1.36,1502.20
4096,1000,1.74,2347.98
8192,1000,2.27,3603.79
16384,1000,3.25,5039.27
32768,1000,5.29,6192.96
65536,640,9.45,6935.11
131072,320,17.90,7322.42
262144,160,34.38,7624.21
524288,80,83.10,6309.02
1048576,40,166.98,6279.48
2097152,20,329.84,6358.17
4194304,10,655.87,6395.01
8388608,5,1500.84,5589.26
16777216,2,3698.15,4536.65
33554432,1,7768.28,4319.42
67108864,1,15560.62,4312.74
134217728,1,31207.50,4300.82
268435456,1,62342.52,4305.82
