#mpirun -np 2 mpirun -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ~./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.0
1,1000,0.23,4.3
2,1000,0.23,8.54
4,1000,0.23,17.1
8,1000,0.23,34.22
16,1000,0.23,68.3
32,1000,0.24,131.59
64,1000,0.24,261.71
128,1000,0.26,490.15
256,1000,0.28,910.18
512,1000,0.43,1194.5
1024,1000,0.45,2281.19
2048,1000,0.59,3435.75
4096,1000,0.87,4732.51
8192,1000,1.43,5721.58
16384,1000,2.35,6969.09
32768,1000,3.55,9239.57
65536,640,5.71,11468.35
131072,320,8.72,15040.56
262144,160,15.07,17402.13
524288,80,41.78,12548.68
1048576,40,82.24,12750.76
2097152,20,156.05,13439.43
4194304,10,387.69,10819.72
8388608,5,1136.11,7383.98
16777216,2,2462.24,6814.14
33554432,1,5861.09,5724.97
67108864,1,11664.96,5753.03
134217728,1,23450.8,5723.38
268435456,1,48403.65,5545.77
