#mpirun -np 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER tcp ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.23,0.0
1,1000,9.07,0.11
2,1000,8.76,0.23
4,1000,8.69,0.46
8,1000,8.68,0.93
16,1000,8.67,1.86
32,1000,8.76,3.67
64,1000,8.53,7.52
128,1000,8.64,14.85
256,1000,8.65,29.65
512,1000,11.09,46.23
1024,1000,11.47,89.38
2048,1000,13.66,150.29
4096,1000,14.66,280.32
8192,1000,16.68,492.82
16384,1000,26.26,625.31
32768,1000,37.2,883.47
65536,640,63.69,1031.6
131072,320,118.74,1106.3
262144,160,151.44,1736.5
524288,80,226.07,2326.45
1048576,40,374.68,2808.95
2097152,20,1725.51,2517.31
4194304,10,1361.08,3089.13
8388608,5,2844.96,2951.58
16777216,2,5982.83,2807.45
33554432,1,12005.97,2797.97
67108864,1,23889.64,2813.26
134217728,1,46447.69,2891.58
268435456,1,93630.34,2869.83
