#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.39,0.0
1,1000,5.48,0.18
2,1000,5.49,0.36
4,1000,5.48,0.73
8,1000,5.49,1.46
16,1000,5.48,2.92
32,1000,5.49,5.83
64,1000,5.5,11.64
128,1000,5.58,22.93
256,1000,5.61,45.62
512,1000,5.66,90.51
1024,1000,6.31,162.35
2048,1000,6.13,334.02
4096,1000,7.14,574.04
8192,1000,7.6,1078.53
16384,1000,9.78,1674.85
32768,1000,16.02,2045.03
65536,640,30.47,2150.66
131072,320,43.26,3030.16
262144,160,61.6,4255.98
524288,80,95.91,5466.73
1048576,40,163.04,6431.18
2097152,20,305.98,6855.18
4194304,10,600.96,6979.76
8388608,5,1483.63,5654.12
16777216,2,3206.68,5231.98
33554432,1,6450.24,5202.05
67108864,1,12900.09,5202.21
134217728,1,25682.27,5226.09
268435456,1,50960.51,5267.53
