mpirun -np 2 --map by node ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.0
1,1000,0.98,1.02
2,1000,1.0,2.01
4,1000,0.99,4.04
8,1000,0.99,8.12
16,1000,0.99,16.2
32,1000,1.01,31.78
64,1000,1.16,55.04
128,1000,1.21,106.15
256,1000,1.43,179.41
512,1000,1.49,342.53
1024,1000,1.66,618.98
2048,1000,2.32,882.39
4096,1000,3.2,1279.91
8192,1000,4.51,1817.52
16384,1000,6.37,2573.42
32768,1000,8.51,3850.15
65536,640,12.43,5270.94
131072,320,18.74,6992.69
262144,160,32.58,8046.06
524288,80,55.0,9538.7
1048576,40,97.5,10755.76
2097152,20,182.81,11472.42
4194304,10,352.61,11894.84
8388608,5,694.31,12081.93
16777216,2,1381.12,12147.53
33554432,1,2758.27,12165.0
67108864,1,5511.28,12176.64
134217728,1,11034.36,12163.62
268435456,1,22057.57,12169.77
