#mpirun -np 2 --map-by core --mca pml ob1 --mca btl self, ./IMB-MPI1 PingPong -msglog 28
lambda, bandwith computed by fitting data
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.39,0.00
1,1000,5.48,0.18
2,1000,5.51,0.36
4,1000,5.47,0.73
8,1000,5.51,1.45
16,1000,5.48,2.92
32,1000,5.49,5.82
64,1000,5.51,11.61
128,1000,5.60,22.86
256,1000,5.61,45.66
512,1000,5.63,90.91
1024,1000,6.31,162.23
2048,1000,6.13,333.96
4096,1000,7.12,575.03
8192,1000,7.61,1076.84
16384,1000,9.78,1675.81
32768,1000,16.09,2036.02
65536,640,30.50,2148.46
131072,320,43.24,3031.38
262144,160,61.34,4273.84
524288,80,95.94,5464.82
1048576,40,162.97,6434.00
2097152,20,308.97,6787.55
4194304,10,594.83,7051.25
8388608,5,1487.46,5639.54
16777216,2,3195.80,5249.77
33554432,1,6454.60,5198.53
67108864,1,12884.94,5208.32
134217728,1,25663.31,5229.95
268435456,1,50950.13,5268.59
